text,intent
"Thank you, see you",thanks
"Thank you, take care",thanks
"Thank you, that answers my question",thanks
"Thank you, that helps a lot",thanks
"Thank you, that is all I needed",thanks
"Thank you, that makes sense",thanks
"Thank you, that solves my problem",thanks
"Thank you, that was helpful",thanks
"Thank you, that was informative",thanks
"Thank you, that was quick",thanks
"Thank you, that was useful",thanks
"Thank you, this is helpful",thanks
Thanks,thanks
Thanks AI,thanks
Thanks a bunch,thanks
Thanks a lot,thanks
Thanks a million,thanks
Thanks again,thanks
Thanks again for the information,thanks
Thanks again for your help,thanks
Thanks again for your support,thanks
Thanks assistant,thanks
Thanks bot,thanks
Thanks chatbot,thanks
Thanks for assisting me today,thanks
Thanks for clarifying,thanks
Thanks for clearing that up,thanks
Thanks for explaining,thanks
Thanks for getting back to me,thanks
Thanks for giving me details,thanks
Thanks for helping me,thanks
Thanks for making it clear,thanks
Thanks for responding,thanks
Thanks for sharing the information,thanks
Thanks for solving my issue,thanks
Thanks for solving my problem,thanks
Thanks for taking the time to help,thanks
Thanks for the answer,thanks
Thanks for the clear answer,thanks
Thanks for the detailed explanation,thanks
Thanks for the explanation,thanks
Thanks for the fast reply,thanks
Thanks for the help today,thanks
Thanks for the information,thanks
Thanks for the information provided,thanks
Thanks for the quick help,thanks
Thanks for the quick response,thanks
Thanks for the quick support,thanks
Thanks for the reply,thanks
Thanks for the support,thanks
Thanks for your assistance,thanks
Thanks for your effort,thanks
Thanks for your guidance,thanks
Thanks for your help today,thanks
Thanks for your support today,thanks
Thanks for your support today,thanks
Thanks for your time,thanks
Thanks heaps,thanks
Thanks once again,thanks
Thanks so much,thanks
Thanks so much for your help,thanks
Thanks system,thanks
"Thanks, I am satisfied",thanks
"Thanks, I appreciate it",thanks
"Thanks, I got it",thanks
"Thanks, I learned something new",thanks
"Thanks, I understand now",thanks
"Thanks, appreciate your help",thanks
"Thanks, appreciate your support",thanks
"Thanks, bye",thanks
"Thanks, everything is clear now",thanks
"Thanks, have a great day",thanks
"Thanks, have a nice day",thanks
"Thanks, much appreciated",thanks
"Thanks, problem solved",thanks
"Thanks, really appreciate it",thanks
"Thanks, see you",thanks
"Thanks, take care",thanks
"Thanks, that answers my question",thanks
"Thanks, that helps a lot",thanks
"Thanks, that is all I needed",thanks
"Thanks, that makes sense",thanks
"Thanks, that solves my problem",thanks
"Thanks, that was helpful",thanks
"Thanks, that was informative",thanks
"Thanks, that was quick",thanks
"Thanks, that was useful",thanks
"Thanks, this is helpful",thanks
That helps a lot,thanks
"That was really helpful, thanks",thanks
,
Can I access my timetable from the website?,timetable
Can I access timetable easily?,timetable
Can I access timetable from phone?,timetable
Can I access timetable from student portal?,timetable
Can I check my class plan for the week?,timetable
Can I check my class timings online?,timetable
Can I check my timetable anytime online?,timetable
Can I check my timetable anytime?,timetable
Can I check my timetable on the portal?,timetable
Can I check my timetable online anytime?,timetable
Can I check my timetable through the student portal?,timetable
Can I check timetable for next week?,timetable
Can I check timetable remotely?,timetable
Can I download my class timetable?,timetable
Can I download my timetable?,timetable
Can I find my timetable on the system?,timetable
Can I log in to check timetable anywhere?,timetable
Can I print my class schedule?,timetable
Can I refresh my timetable?,timetable
Can I see my class details?,timetable
Can I see my timetable for upcoming classes?,timetable
Can I see timetable before classes start?,timetable
Can I see today's classes?,timetable
Can I share my timetable?,timetable
Can I view my schedule online?,timetable
Can I view my timetable for all subjects?,timetable
Can I view my timetable on my phone?,timetable
Can I view schedule by subject?,timetable
Can new students view timetable?,timetable
Can timetable be updated?,timetable
Can you help me find my schedule?,timetable
How can I check my daily class schedule?,timetable
How can I check my timetable?,timetable
How can I check tomorrow's classes?,timetable
How can I find out my class schedule?,timetable
How can I see my schedule?,timetable
How can I view my timetable for today?,timetable
How do I access my class schedule?,timetable
How do I access my full timetable?,timetable
How do I access my weekly schedule?,timetable
How do I access timetable for first semester?,timetable
How do I access timetable from the portal?,timetable
How do I check class by course?,timetable
How do I check if my timetable has changed?,timetable
How do I check lecture times?,timetable
How do I check my class timing?,timetable
How do I check my lecture schedule?,timetable
How do I check my subjects schedule?,timetable
How do I check my subjects timetable?,timetable
How do I check my timetable for this week?,timetable
How do I check my upcoming timetable?,timetable
How do I check schedule on phone?,timetable
How do I check schedule updates?,timetable
How do I check timetable after enrollment?,timetable
How do I check timetable as a new student?,timetable
How do I check timetable for each subject?,timetable
How do I check timetable on mobile?,timetable
How do I check upcoming lectures?,timetable
How do I confirm my class schedule?,timetable
How do I find my timetable for this semester?,timetable
How do I get a PDF of my timetable?,timetable
How do I get a copy of my timetable?,timetable
How do I get my initial schedule?,timetable
How do I get my timetable?,timetable
How do I keep a copy of my timetable?,timetable
How do I know if class time changes?,timetable
How do I know my class times?,timetable
How do I know my lecture timetable?,timetable
How do I know my next lecture?,timetable
How do I know subject schedule?,timetable
How do I know what classes I have?,timetable
How do I know when lectures are?,timetable
How do I know when my classes are?,timetable
How do I navigate to timetable page?,timetable
How do I open my timetable?,timetable
How do I open timetable in portal?,timetable
How do I print my timetable?,timetable
How do I save my timetable?,timetable
How do I see my timetable for this month?,timetable
How do I see my timetable online?,timetable
How do I see timetable without computer?,timetable
How do I see upcoming classes?,timetable
How do I track timetable changes?,timetable
How do I view future classes?,timetable
How do I view my course schedule?,timetable
How do I view my schedule?,timetable
How do I view timetable on tablet?,timetable
I need information about my timetable,timetable
I need to see my class schedule,timetable
I want to check my class times,timetable
I want to check my timetable,timetable
I want to know my class timing,timetable
I want to see today's classes,timetable
Is my timetable available online?,timetable
Is there an app for timetable?,timetable
Is there mobile access for timetable?,timetable
Is there notification for timetable changes?,timetable
Is timetable available in student system?,timetable
Is timetable available on app?,timetable
Is timetable downloadable?,timetable
Please show me my timetable,timetable
Show my timetable,timetable
What classes do I have next?,timetable
What classes do I have today?,timetable
What is my class schedule for tomorrow?,timetable
What is my class schedule?,timetable
What is my daily schedule?,timetable
What is my lecture timetable?,timetable
What is my next subject?,timetable
What is my schedule for today?,timetable
What is my starting schedule?,timetable
What is the timing for my course?,timetable
What time do my classes start?,timetable
What time is my math class?,timetable
What time is my next class?,timetable
When are my classes?,timetable
When is my programming class?,timetable
When will I receive my timetable?,timetable
Where can I check my class schedule today?,timetable
Where can I check my class schedule?,timetable
Where can I check my lectures?,timetable
Where can I check my timetable details?,timetable
Where can I export my timetable?,timetable
Where can I find my next class time?,timetable
Where can I find my timetable?,timetable
Where can I find today's schedule?,timetable
Where can I print my schedule?,timetable
Where can I see latest timetable?,timetable
Where can I see my class schedule?,timetable
Where can I see my class timetable?,timetable
Where can I see my enrolled class schedule?,timetable
Where can I see my timetable updates?,timetable
Where can I see my weekly class schedule?,timetable
Where can I see subject timings?,timetable
Where can I see updated timetable?,timetable
Where can I view my class plan?,timetable
Where can I view my class schedule?,timetable
Where can I view my enrolled classes?,timetable
Where can I view my timetable information?,timetable
Where can I view timetable on mobile?,timetable
Where do I access my class timetable online?,timetable
Where do I check my classes?,timetable
Where do I check my lecture schedule online?,timetable
Where do I check my subject timings?,timetable
Where do I download my schedule?,timetable
Where do I find course timetable?,timetable
Where do I find my class times?,timetable
Where do I find my first timetable?,timetable
Where do I find my weekly timetable?,timetable
Where do I find subject schedules?,timetable
Where do I log in to see my schedule?,timetable
Where do I see my subject timetable?,timetable
Where do I see my upcoming schedule?,timetable
Where do I view my class schedule?,timetable
Where do new students check schedule?,timetable
Where is my class schedule located?,timetable
Where is my timetable?,timetable
Where is the class schedule option?,timetable
Where is the class timetable page?,timetable
Where is the timetable section?,timetable
,
Are you a real person?,unknown
Are you happy?,unknown
Can I buy groceries here?,unknown
Can I order pizza here?,unknown
Can we play chess?,unknown
Can you act like a pirate?,unknown
Can you book a hotel for me?,unknown
Can you call my friend?,unknown
Can you check Apple stock?,unknown
Can you dance?,unknown
Can you draw a cat?,unknown
Can you entertain me?,unknown
Can you explain cricket rules?,unknown
Can you find me a taxi?,unknown
Can you help me pack for travel?,unknown
Can you help with calculus?,unknown
Can you make me laugh?,unknown
Can you predict my life?,unknown
Can you quiz me on movies?,unknown
Can you recommend a mobile game?,unknown
Can you recommend a restaurant?,unknown
Can you repair my printer?,unknown
Can you send an email?,unknown
Can you set an alarm?,unknown
Can you sing a song?,unknown
Can you solve algebra?,unknown
Can you speak Korean?,unknown
Can you start a game?,unknown
Can you suggest lunch ideas?,unknown
Can you teach me cooking?,unknown
Can you tell me the time?,unknown
Can you tell my future?,unknown
Can you turn on Bluetooth?,unknown
Can you unlock my phone?,unknown
Can you unlock the door?,unknown
Can you write song lyrics?,unknown
Do I need an umbrella today?,unknown
Do ghosts exist?,unknown
Do you feel tired?,unknown
Do you have a joke for me?,unknown
Do you know Roblox?,unknown
Do you know any jokes?,unknown
Do you like Minecraft?,unknown
Do you like music?,unknown
Generate a picture for me,unknown
Give me a recipe for pasta,unknown
How do I bake a cake?,unknown
How do I calculate BMI?,unknown
How do I cook rice?,unknown
How do I divide fractions?,unknown
How do I fix my phone?,unknown
How do I open a bank account?,unknown
How do I renew my passport?,unknown
How do I reset my password?,unknown
How do I update Windows?,unknown
How do plants grow?,unknown
How far is Kuala Lumpur from Penang?,unknown
How is the stock market today?,unknown
How is the weather today?,unknown
How long do I boil eggs?,unknown
How many countries are there?,unknown
How many days are in this month?,unknown
How much is an iPhone?,unknown
How old are you?,unknown
I want to play a game,unknown
Is it cloudy outside?,unknown
Is it raining now?,unknown
Is it sunny today?,unknown
Is luck real?,unknown
Is the economy getting better?,unknown
Is this place haunted?,unknown
Is today a holiday?,unknown
Let's play tic tac toe,unknown
Make me smile,unknown
My screen is broken,unknown
Open Google Maps,unknown
Open YouTube for me,unknown
Open my camera,unknown
Play some music,unknown
Read my palm,unknown
Say a joke please,unknown
Say something funny,unknown
Should I buy shares now?,unknown
Should I invest in gold?,unknown
Sing happy birthday,unknown
Tell me a bedtime story,unknown
Tell me a funny story,unknown
Tell me something funny,unknown
Translate this sentence,unknown
Turn off the lights,unknown
What are the best places to visit?,unknown
What day is it today?,unknown
What does this word mean?,unknown
What games do you play?,unknown
What is 2 plus 2?,unknown
What is Bitcoin price now?,unknown
What is a healthy breakfast?,unknown
What is a prime number?,unknown
What is artificial intelligence?,unknown
What is inflation?,unknown
What is my destiny?,unknown
What is my zodiac sign?,unknown
What is the NBA schedule?,unknown
What is the best dessert?,unknown
What is the best phone to buy?,unknown
What is the best video game?,unknown
What is the biggest ocean?,unknown
What is the capital of France?,unknown
What is the current time in Malaysia?,unknown
What is the date today?,unknown
What is the exchange rate today?,unknown
What is the formula for area?,unknown
What is the latest football score?,unknown
What is the population of China?,unknown
What is the price of oil?,unknown
What is the score now?,unknown
What is the square root of 49?,unknown
What is the tallest mountain?,unknown
What is the temperature outside?,unknown
What is the weather like?,unknown
What is today's forecast?,unknown
What is your favourite color?,unknown
What is your favourite food?,unknown
What is your hobby?,unknown
What is your name?,unknown
What movies do you like?,unknown
What should I buy for dinner?,unknown
What should I eat today?,unknown
What time is it now?,unknown
What time zone is this?,unknown
What year is it now?,unknown
When is the next World Cup?,unknown
When is the next game?,unknown
Where am I?,unknown
Where can I buy a laptop?,unknown
Where can I buy shoes?,unknown
Where can I shop online?,unknown
Where is Japan?,unknown
Where is the airport?,unknown
Where is the nearest mall?,unknown
Where should I travel this year?,unknown
Which team is on top of the league?,unknown
Who am I?,unknown
Who discovered America?,unknown
Who invented the telephone?,unknown
Who is the best football player?,unknown
Who is the president?,unknown
Who is the prime minister?,unknown
Who won the Olympics?,unknown
Who won the match yesterday?,unknown
Why are cats afraid of water?,unknown
Why is my WiFi disconnected?,unknown
Why is my computer overheating?,unknown
Why is my laptop slow?,unknown
Why is the sky blue?,unknown
Will I be rich?,unknown
Will it be hot today?,unknown
Will it rain today?,unknown
Write a love letter,unknown
Write me a poem,unknown
